ABCB1,MLXIP
ABCB1,MPDZ
ABCB1,OPHN1
ABCB1,PBRM1
ABCB1,PER3
ABCB1,PIK3R1
ABCB1,PLXNB2
ABCB1,PPRC1
ABCB1,PUS7L
ABCB1,QSER1
ABCB1,RALGAPB
ABCB1,RBM10
ABCB1,RNF145
ABCB1,ROCK1
ABCB1,RPL5
ABCB1,SAMHD1
ABCB1,SCML2
ABCB1,SDHA
ABCB1,SEMA4D
ABCB1,SETD5
ABCB1,SLC34A2
ABCB1,ST8SIA5
ABCB1,TMF1
ABCB1,TOP1
ABCB1,UTP20
ABCB1,ZNF292
ABCB1,ZNF606
ABCB11,DLK1
ABCB11,KIR2DL3
ABCB11,RAG1
ABCB11,TRIOBP
ABCB4,CD163
ABCB4,CDH7
ABCB4,CHD4
ABCB4,CHGB
ABCB4,COL18A1
ABCB4,CSPP1
ABCB4,EGFR
ABCB4,EHBP1
ABCB4,F13A1
ABCB4,GRIA4
ABCB4,GUCY2F
ABCB4,HSPG2
ABCB4,IL1RAPL2
ABCB4,JAK3
ABCB4,KRAS
ABCB4,NBAS
ABCB4,NRXN3
ABCB4,SLC24A2
ABCB4,TRPS1
ABCB4,ULK4
ABCB4,USP32
ABCB4,USP34
ABCB4,UTP20
ABCB4,ZFC3H1
ABCB4,ZFPM2
ABCB5,ADARB1
ABCB5,AKAP13
ABCB5,ARAF
ABCB5,ARHGAP11A
ABCB5,ARHGAP29
ABCB5,ARHGEF7
ABCB5,ARHGEF9
ABCB5,ARID1A
ABCB5,ATXN1
ABCB5,BACE2
ABCB5,BAG6
ABCB5,BCAS3
ABCB5,C5
ABCB5,CAMSAP1
ABCB5,CAPRIN1
ABCB5,CEP72
ABCB5,CHD9
ABCB5,CHEK2
ABCB5,CHRM4
ABCB5,COL16A1
ABCB5,CROT
ABCB5,CTNNB1
ABCB5,CUX1
ABCB5,CYP27A1
ABCB5,DHX35
ABCB5,DHX58
ABCB5,DICER1
ABCB5,DLG1
ABCB5,DYRK1B
ABCB5,EGFR
ABCB5,EPC1
ABCB5,EPN2
ABCB5,EPS15L1
ABCB5,ERBB2
ABCB5,FAM186A
ABCB5,FASTKD3
ABCB5,FIG4
ABCB5,GATM
ABCB5,GTPBP10
ABCB5,GYS2
ABCB5,HAL
ABCB5,HAUS7
ABCB5,HCN4
ABCB5,HOXB2
ABCB5,HOXD10
ABCB5,INPP5F
ABCB5,KANK2
ABCB5,KCNJ5
ABCB5,KDM2A
ABCB5,KEAP1
ABCB5,KERA
ABCB5,KIAA1033
ABCB5,KLHL3
ABCB5,KRT14
ABCB5,LILRA4
ABCB5,LRCH3
ABCB5,LRRC41
ABCB5,LRRC49
ABCB5,MAGEB1
ABCB5,MBTPS2
ABCB5,MCOLN1
ABCB5,METTL3
ABCB5,MUC4
ABCB5,NAA15
ABCB5,NDST1
ABCB5,NDST3
ABCB5,NKTR
ABCB5,NPM1
ABCB5,ORC1
ABCB5,PIK3CA
ABCB5,PIK3R1
ABCB5,PNISR
ABCB5,POLR3C
ABCB5,PRF1
ABCB5,PRKRIR
ABCB5,PRMT8
ABCB5,PSAP
ABCB5,PSMC6
ABCB5,PTDSS1
ABCB5,PTPRK
ABCB5,PXDN
ABCB5,RASGRF1
ABCB5,RB1
ABCB5,RBM5
ABCB5,RICTOR
ABCB5,SF1
ABCB5,SF3A1
ABCB5,SLC27A3
ABCB5,SON
ABCB5,SPAG5
ABCB5,SPAG9
ABCB5,SPG11
ABCB5,TDRD9
ABCB5,TEX11
ABCB5,TJP2
ABCB5,TTK
ABCB5,U2AF1
ABCB5,U2SURP
ABCB5,UTP20
ABCB5,VIM
ABCB5,VNN2
ABCB5,VPS11
ABCB5,VWA7
ABCB5,XPOT
ABCB5,ZBTB24
ABCB5,ZNF157
ABCB5,ZNF468
ABCB5,ZNF559
ABCB5,ZNF585A
ABCB5,ZNF682
ABCB6,EGFR
ABCB7,ADAMTS20
ABCB7,ANK3
ABCB7,ARPP21
ABCB7,BICC1
ABCB7,CACNA2D3
ABCB7,CALCR
ABCB7,CARD11
ABCB7,CENPF
ABCB7,COL5A2
ABCB7,CR1
ABCB7,CREBBP
ABCB7,DPP6
ABCB7,EGFR
ABCB7,FN1
ABCB7,GBA3
ABCB7,HECW1
ABCB7,IQGAP2
ABCB7,ITIH5
ABCB7,KIF1B
ABCB7,KRAS
ABCB7,LAMA3
ABCB7,LPHN2
ABCB7,MAP3K19
ABCB7,MUC2
ABCB7,MYCBP2
ABCB7,NEB
ABCB7,RBM10
ABCB7,SLC14A2
ABCB7,SORCS3
ABCB7,SPTBN1
ABCB7,SPTBN5
ABCB7,STK11
ABCB7,TECTA
ABCB7,TMPRSS15
ABCB7,TRPS1
ABCB7,UTRN
ABCB7,ZNF208
ABCB7,ZNF492
ABCB7,ZNF536
ABCB8,AKAP6
ABCB8,ANK1
ABCB8,CACNA1B
ABCB8,CACNA1I
ABCB8,CCT8L2
ABCB8,CDH6
ABCB8,COL15A1
ABCB8,COL1A2
ABCB8,COL4A4
ABCB8,COL6A2
ABCB8,CR2
ABCB8,CTNNA2
ABCB8,DIP2A
ABCB8,EGFR
ABCB8,FHL5
ABCB8,GFRA1
ABCB8,HDAC4
ABCB8,HUWE1
ABCB8,INHBA
ABCB8,KIAA1109
ABCB8,KNDC1
ABCB8,KRAS
ABCB8,LILRA2
ABCB8,LRP2
ABCB8,MEGF8
ABCB8,MET
ABCB8,MUC2
ABCB8,MYT1
ABCB8,NXF3
ABCB8,OLFML2B
ABCB8,PARP4
ABCB8,PDZRN4
ABCB8,PTPRB
ABCB8,PTPRT
ABCB8,RBM10
ABCB8,SCN2A
ABCB8,SCN5A
ABCB8,SIGLEC1
ABCB8,WDFY3
ABCB8,XIST
ABCC1,AHNAK
ABCC1,CADM3
ABCC1,GPR32
ABCC1,LDB2
ABCC1,NFASC
ABCC1,NYNRIN
ABCC1,PRRC2C
ABCC1,PTPRH
ABCC1,PTPRN2
ABCC1,SVEP1
ABCC1,TBX3
ABCC1,TRIP12
ABCC1,UTP20
ABCC3,AKAP9
ABCC4,C9
ABCC4,IQGAP2
ABCC4,NBPF10
ABCC5,CDC42BPA
ABCC5,CUL9
ABCC5,DIP2A
ABCC5,PMFBP1
ABCC5,PRRC2B
ABCC5,PTPRF
ABCC5,ZNF91
ABCC6,PTPRB
ABCC8,CHEK2
ABCC8,COL7A1
ABCC8,HTATSF1
ABCC8,SERPINA7
ABCC8,UTP20
ABCC9,CALCR
ABCC9,FPR1
ABCC9,GLP2R
ABCC9,GPR111
ABCC9,MYBL2
ABCC9,MYOF
ABCC9,PBRM1
ABCC9,PCDHA5
ABCC9,SMARCA1
ABCC9,TARS
ABCC9,USP7
ABCD1,ADAMTS12
ABCD1,EGFR
ABCD1,LRP1B
ABCD2,BCHE
ABCD2,CDC42BPA
ABCD2,CELSR3
ABCD2,CUL9
ABCD2,EGFR
ABCD2,ELMO1
ABCD2,FLNB
ABCD2,FRAS1
ABCD2,HEPH
ABCD2,MACF1
ABCD2,MPO
ABCD2,MYBPC3
ABCD2,MYO16
ABCD2,PCDHB11
ABCD2,PIK3CA
ABCD2,PROX1
ABCD2,PTPRO
ABCD2,RPE65
ABCD2,SEMA3E
ABCD2,SORL1
ABCD2,SUPT6H
ABCD2,UMOD
ABCD2,YLPM1
ABCD3,EGFR
ABCD4,LTBP1
ABCD4,MUC2
ABCF1,EGFR
ABCF1,LRP1B
ABCF1,LTBP1
ABCF1,MUC2
ABCF1,TRPA1
ABCF2,EGFR
ABCF3,EGFR
ABCF3,KIAA1109
ABCG1,ATM
ABCG1,BRAF
ABCG1,EGFR
ABCG1,FRMPD4
ABCG1,FRY
ABCG1,GRIK1
ABCG1,KEAP1
ABCG1,NAV2
ABCG1,NELL1
ABCG2,EGFR
ABCG2,GRIN2B
ABCG2,LGR5
ABCG2,MYH3
ABCG2,NINL
ABCG2,PCDHA5
ABCG2,PIK3CA
ABCG2,PKD1
ABCG2,SATB2
ABCG4,ADAMTS3
ABCG4,AKAP13
ABCG4,ATG2B
ABCG4,ATP1A2
ABCG4,C2CD3
ABCG4,CCT8L2
ABCG4,EGFR
ABCG4,FAM171A1
ABCG4,GALNT14
ABCG4,GRIK3
ABCG4,HCFC1
ABCG4,NCOR1
ABCG4,NSD1
ABCG4,PIK3C2B
ABCG4,SLCO1C1
ABCG4,SPTB
ABCG4,TENM3
ABCG4,TNS1
ABCG4,TPTE
ABCG5,ABCA7
ABCG5,ARPP21
ABCG5,BRCA2
ABCG5,CASR
ABCG5,DGKB
ABCG5,EGFR
ABCG5,ESRRG
ABCG5,GRM6
ABCG5,GUCY1A2
ABCG5,HTT
ABCG5,KALRN
ABCG5,LAMC1
ABCG5,MUC2
ABCG5,MUC6
ABCG5,NAV3
ABCG5,PLEC
ABCG5,PRDM9
ABCG5,TRPC6
ABCG5,VGLL3
ABCG8,ADAMTS6
ABCG8,BTAF1
ABCG8,CTNNB1
ABCG8,EGFR
ABCG8,FUT9
ABCG8,HEATR1
ABCG8,MET
ABCG8,MMP2
ABCG8,MYO16
ABCG8,PIKFYVE
ABCG8,SLC12A3
ABCG8,SMAD4
ABCG8,SUPT6H
ABCG8,ZNF107
ABHD10,TTN
ABHD11,PCDH11X
ABHD17A,TP53
ABHD17B,LRP1B
ABHD2,EGFR
ABHD2,ZNF804A
ABI1,ANK2
ABI1,BRINP3
ABI1,CNTNAP2
ABI1,COL3A1
ABI1,CUBN
ABI1,HYDIN
ABI1,MUC5B
ABI1,MYH1
ABI1,NPAP1
ABI1,PEG3
ABI1,RYR2
ABI1,TNR
ABI1,TP53
ABI1,TPTE
ABI1,TTN
ABI2,EGFR
ABI2,MXRA5
ABI2,SPTA1
ABI3BP,ARID1A
ABI3BP,BTK
ABI3BP,CACNA1S
ABI3BP,CAPN6
ABI3BP,CD1E
ABI3BP,CDC42BPA
ABI3BP,CLTC
ABI3BP,CNOT1
ABI3BP,EGFR
ABI3BP,HUWE1
ABI3BP,MYBPC2
ABI3BP,NBEAL2
ABI3BP,NCAN
ABI3BP,PROKR2
ABI3BP,SETX
ABI3BP,SLC6A5
ABI3BP,ZNF236
ABL1,DYSF
ABL1,EGFR
ABL2,ADAMTS20
ABL2,EGFR
ABL2,GRIA3
ABL2,KRAS
ABL2,MED12
ABL2,SCN10A
ABL2,TECTA
ABLIM1,DNAH3
ABLIM1,EGFR
ABLIM1,PTPRT
ABLIM1,STAB2
ABLIM1,TP53
ABLIM1,VCAN
ABLIM1,ZNF536
ABLIM3,ADAM2
ABLIM3,ARID1A
ABLIM3,CELSR3
ABLIM3,CNTN2
ABLIM3,DAB1
ABLIM3,EGFR
ABLIM3,EIF4G1
ABLIM3,FLNA
ABLIM3,FRYL
ABLIM3,HOXA3
ABLIM3,IL9R
ABLIM3,KRAS
ABLIM3,NBAS
ABLIM3,RBM10
ABLIM3,SETD2
ABLIM3,STK11
ABLIM3,ZNF711
ABT1,KEAP1
ABT1,MUC2
ACACA,ABCA1
ACACA,ABCA2
ACACA,ABCA6
ACACA,ABCC1
ACACA,ABCD2
ACACA,ADAMTS7
ACACA,ANGPT1
ACACA,ANO3
ACACA,ARHGEF11
ACACA,ATM
ACACA,BAIAP3
ACACA,C8A
ACACA,CACNA1H
ACACA,CACNA1I
ACACA,CD163
ACACA,CDK5RAP2
ACACA,CELSR1
ACACA,CHD5
ACACA,CIT
ACACA,CNKSR2
ACACA,COL15A1
ACACA,COL1A2
ACACA,CYP11B1
ACACA,DMBT1
ACACA,EFCAB6
ACACA,EGFR
ACACA,EIF4G1
ACACA,EP400
ACACA,ERC1
ACACA,F8
ACACA,FBN1
ACACA,FCGBP
ACACA,GP2
ACACA,GPR85
ACACA,GRIN2A
ACACA,HCK
ACACA,HERC2
ACACA,HIVEP2
ACACA,HOXD10
ACACA,KCNJ16
ACACA,KCNV1
ACACA,KDM5B
ACACA,KIF16B
ACACA,KMT2B
ACACA,KMT2D
ACACA,KRAS
ACACA,LAMA1
ACACA,LAMA3
ACACA,LAMC1
ACACA,LRP1
ACACA,LRP4
ACACA,MED13L
ACACA,MN1
ACACA,MROH9
ACACA,MSR1
ACACA,MYH13
ACACA,MYH14
ACACA,MYH2
ACACA,MYT1
ACACA,NCAPG2
ACACA,NOS3
ACACA,NPR3
ACACA,NR5A2
ACACA,NRXN1
ACACA,NRXN3
ACACA,OPLAH
ACACA,PCDHB3
ACACA,PER2
ACACA,PGBD1
ACACA,PLCG2
ACACA,PLXNA1
ACACA,PLXNC1
ACACA,POLA1
ACACA,PROKR2
ACACA,PSG1
ACACA,RAB11FIP1
ACACA,RAG2
ACACA,REG1A
ACACA,ROBO3
ACACA,ROS1
ACACA,RPTOR
ACACA,SCN2A
ACACA,SIM1
ACACA,SLC12A3
ACACA,SLC8A1
ACACA,SLIT3
ACACA,SMARCA1
ACACA,SPTA1
ACACA,SPTAN1
ACACA,STAG2
ACACA,TLR4
ACACA,TULP4
ACACA,UNC13A
ACACA,VEGFC
ACACA,VWF
ACACA,XYLT1
ACACA,ZNF496
ACACA,ZNF592
ACACA,ZNF667
ACACA,ZNF677
ACACA,ZZEF1
ACACB,ABCA1
ACACB,AGL
ACACB,AMPH
ACACB,APOA4
ACACB,ATP2B2
ACACB,C8A
ACACB,CAPRIN2
ACACB,CCDC144A
ACACB,COL9A3
ACACB,CYP2C19
ACACB,CYP4F3
ACACB,DDX11
ACACB,DMBT1
ACACB,DOCK3
ACACB,EGFR
ACACB,FOXI1
ACACB,GPR125
ACACB,HEATR1
ACACB,HPSE2
