gene1,gene2,weight
AGR2,ABHD2,5.932772972822574
AGR2,ACACA,4.636746932263528
AGR2,ADH6,4.907144618300767
AGR2,ADORA2A,5.615771637257421
AGR2,AGPAT1,3.6322753832855397
AGR2,AGPAT2,4.576660175817385
AGR2,AIM2,4.153460272194314
AGR2,AK1,4.526896844513375
AGR2,AKAP17A,4.8180608579088045
AGR2,ALDH3A1,3.043924828887509
AGR2,ALDH3B1,3.962279825910136
AGR2,ANP32E,3.9085244379035515
AGR2,ANXA3,4.71630133775103
AGR2,APOBEC3H,3.680573382277659
AGR2,ASAH1,5.663651580925851
AGR2,ATOX1,4.663548980522302
AGR2,ATP5H,4.246040556386383
AGR2,BCAT1,5.799700847914485
AGR2,BCL2L11,3.5504996196976326
AGR2,BIRC3,3.8234989156869523
AGR2,BMP2,3.06571421651931
AGR2,BNIP1,5.540516625517386
AGR2,BNIP2,5.903198699388863
AGR2,BUD31,3.3719717346968587
AGR2,C2,4.97592503120808
AGR2,C5,4.603471686152552
AGR2,CAND1,5.969852673764066
AGR2,CASP10,3.2289343786727196
AGR2,CBLB,4.054901852994584
AGR2,CCRL2,5.063812407516517
AGR2,CD46,4.674155530765107
AGR2,CD59,3.0169442937549915
AGR2,CDC42SE1,5.290139492155496
AGR2,CDKN2B,4.207419395299983
AGR2,CEACAM1,5.583181028238669
AGR2,CEPT1,3.8167463710750975
AGR2,CFB,3.2556649338200745
AGR2,CLK1,5.401812180274499
AGR2,CLN3,5.1288074768857195
AGR2,COX6C,4.3150870028055435
AGR2,CSF3,3.1094067837604813
AGR2,CTSK,4.765699071978387
AGR2,CXADR,3.039440598850818
AGR2,CXCR4,3.3642324825880325
AGR2,CYP1A1,5.977256717698342
AGR2,CYP3A5,5.007066558291279
AGR2,DAG1,5.820938956647995
AGR2,DERL1,4.090228633328114
AGR2,DFFA,5.429494454889581
AGR2,DHH,5.287232538937911
AGR2,DTX1,3.7576942931766077
AGR2,DYNLL1,3.2341719283003716
AGR2,EBF1,3.931058592699957
AGR2,EIF2C2,4.809994890418241
AGR2,EIF5A,3.614837162600656
AGR2,EIF6,4.356043280429724
AGR2,ELF1,3.350764894384883
AGR2,EMD,3.5251007487659383
AGR2,ENO1,5.287053531351223
AGR2,EPO,3.822168386763114
AGR2,ERCC4,4.17207579449963
AGR2,ESYT1,3.87511019437935
AGR2,F10,4.559687311475509
AGR2,FES,5.499402285068738
AGR2,FKBP8,5.7434899538092195
AGR2,FRAT2,4.274452334997143
AGR2,GALT,3.3913249571697754
AGR2,GK,3.649167923049819
AGR2,GLA,4.422080938000915
AGR2,GLDC,4.447004976480168
AGR2,GNAQ,5.552611452241863
AGR2,GNB2,5.428107126866643
AGR2,GPR107,5.272483471766448
AGR2,GPR172A,4.247223859208462
AGR2,GPR174,5.187113328578604
AGR2,GPR179,4.943418955306973
AGR2,GPR19,3.5716661672055645
AGR2,GPR34,3.10621597128134
AGR2,GPR83,3.208437825318688
AGR2,GPRC6A,5.797842868368433
AGR2,GRPR,5.8694132826603465
AGR2,HAGH,3.5336759031611553
AGR2,HBP1,3.6701214278688576
AGR2,HDAC7,3.3615095665039902
AGR2,HMGN5,4.262549632148074
AGR2,HOXB2,5.375558984240495
AGR2,HOXC10,5.8464278360295
AGR2,IFI30,4.308690462053007
AGR2,IGF2BP3,5.3359048903677415
AGR2,IL20,5.850585800656569
AGR2,INHBE,5.382094069526142
AGR2,INTS12,3.2991651606736605
AGR2,IP6K2,5.436269700079506
AGR2,ITGA3,5.874218069000067
AGR2,ITGA4,5.541313809011831
AGR2,ITPR2,4.1655814215039975
AGR2,ITPR3,4.835064080295517
AGR2,JAG1,4.7289569220903545
AGR2,JMJD7-PLA2G4B,4.949166418217121
AGR2,KCNN4,4.746818234924419
AGR2,KIF5B,4.835365186888986
AGR2,KLF14,4.080658013460077
AGR2,KLF4,4.607636166240358
AGR2,KREMEN1,5.941410651037673
AGR2,KRT25,3.2702760374896376
AGR2,L3MBTL4,4.661022893960601
AGR2,LAMP2,5.813888707216692
AGR2,LGALS3,5.728941016869976
AGR2,LGR5,4.685676122148016
AGR2,LMAN1,3.067797028840629
AGR2,LMNA,3.5189204563471432
AGR2,MAF,4.533968046170907
AGR2,MAP2K3,5.993008362286244
AGR2,MARS,3.1366446751943844
AGR2,MAST4,5.777971653206089
AGR2,MAT2A,4.624394165600095
AGR2,MCM2,3.448335078185705
AGR2,MCM4,4.565802212116531
AGR2,MCM7,3.2923976761506517
AGR2,MDH1,3.697677778827794
AGR2,ME1,3.8296658241052284
AGR2,MRGPRD,4.275423604489068
AGR2,MRGPRX3,4.963165356695669
AGR2,MSL3,4.7862622115816995
AGR2,MYNN,4.749421199704231
AGR2,NDUFA9,5.9127359035770075
AGR2,NFATC2,4.80232838351033
AGR2,NKX2-1,3.7404362091489114
AGR2,NOTCH2NL,3.058729280918587
AGR2,NR0B1,4.886114466247527
AGR2,NRP1,5.469954074904141
AGR2,NT5C2,5.254911898381674
AGR2,NTSR1,4.183551319142345
AGR2,O3FAR1,5.848710393643272
AGR2,OAS1,5.909019997576644
AGR2,OR10Z1,3.875778885557097
AGR2,ORM1,3.85915188242484
AGR2,OSR1,4.655690283490639
AGR2,OTX1,4.571456078046338
AGR2,P2RY8,5.751459895878753
AGR2,PABPC1,3.822399681401405
AGR2,PAK3,3.2199618314206875
AGR2,PARP10,4.851960748275998
AGR2,PC,4.227918920153424
AGR2,PCDH15,3.572931416761885
AGR2,PCGF3,3.56446658899417
AGR2,PDHA1,5.876426092704461
AGR2,PDHB,3.63329073775032
AGR2,PFKFB3,4.764769221488862
AGR2,PHF13,4.171843824775424
AGR2,PHF16,4.855080726496057
AGR2,PI4KAP2,5.115135143741117
AGR2,PIM3,4.6155286506348965
AGR2,POLE3,4.893235897486804
AGR2,POLG,3.1235720965536045
AGR2,POLR3F,3.5162579972742107
AGR2,POLR3K,5.7360192231620974
AGR2,PPP4C,3.4494015549282024
AGR2,PPT1,5.013323569659006
AGR2,PRKAG3,3.999570162112054
AGR2,PRKCZ,3.0489299384253363
AGR2,PRLHR,3.3656130490023193
AGR2,PROKR1,4.700258895625887
AGR2,PRSS3,3.287561419328864
AGR2,PSAP,3.9704819546381214
AGR2,PSEN1,3.139650778242599
AGR2,PSMA3,3.0703541910979997
AGR2,PSMB9,4.160935144797722
AGR2,PSME2,5.652184724219406
AGR2,PTDSS1,3.099536405797758
AGR2,PTPRG,3.760610451955746
AGR2,PVR,5.346233123334061
AGR2,QPCT,4.528294681361211
AGR2,RAB7A,4.315583917300522
AGR2,RALGDS,4.044145096802877
AGR2,RAMP1,3.773148350301019
AGR2,RARB,5.86797944963396
AGR2,RASGRP4,3.0609747273695938
AGR2,RBL1,5.473920131100233
AGR2,RFXANK,3.7715939792000603
AGR2,RNASE4,3.617875037006573
AGR2,RNF125,5.055902555905776
AGR2,RORC,4.806985145644257
AGR2,RPS3,3.7229450111169693
AGR2,RRAGD,3.905047575655302
AGR2,RSPH1,5.855480372300729
AGR2,S100B,3.172800910781751
AGR2,S100P,4.973686867713081
AGR2,S1PR3,3.400199698563064
AGR2,SAT1,4.037221730285612
AGR2,SCN9A,5.666861320343358
AGR2,SERPINA6,5.4673142600083064
AGR2,SERPINB2,3.408136891188065
AGR2,SIK3,4.498240548110879
AGR2,SKAP2,4.528334887435605
AGR2,SLC16A4,4.380823329044942
AGR2,SLC1A6,3.0516258512348426
AGR2,SLC30A2,4.892540736609468
AGR2,SLC30A8,4.199413037814201
AGR2,SLC38A3,3.960988003594833
AGR2,SMOC2,5.292686225122651
AGR2,SNAPC4,3.7927607536847794
AGR2,SNW1,5.368859757334517
AGR2,SPARC,5.13332209277212
AGR2,SPRY1,4.055809168043054
AGR2,SPTAN1,4.2118768108263644
AGR2,SRD5A1,3.5493066159075934
AGR2,SREBF1,5.310789556641754
AGR2,STAT2,4.34974089236386
AGR2,STAT5A,4.08750648161598
AGR2,STIL,3.451149767333435
AGR2,SUPT3H,4.740844962612823
AGR2,SYK,4.708505473559019
AGR2,TAAR1,5.177925907831464
AGR2,TAAR6,3.3547670320056295
AGR2,TAF5L,3.9422656198877126
AGR2,TCF7L1,5.594353029672922
AGR2,TFAP4,4.40750405294018
AGR2,TGM2,5.5306281967512225
AGR2,TINF2,5.091216689856004
AGR2,TKT,4.398019840629531
AGR2,TLR2,5.388344236192353
AGR2,TMED9,4.800858090969526
AGR2,TNFRSF19,3.447851788359032
AGR2,TNFSF10,5.98138623492539
AGR2,TNPO3,4.807106548505925
AGR2,TRAF2,3.966224577440582
AGR2,TRAF4,3.5517987741848285
AGR2,TSC22D1,3.2037319956150734
AGR2,TSG101,4.227185646870957
AGR2,TXNRD3,5.032820169952251
AGR2,UAP1,4.3435277254339475
AGR2,UBE2L3,5.433451621530189
AGR2,UCHL1,4.127633503380621
AGR2,UGT1A3,4.196258757567342
AGR2,UGT2B28,5.97177281599949
AGR2,ULK2,5.645196011523632
AGR2,ULK3,5.790340979420311
AGR2,USF1,3.4350247115632238
AGR2,USP47,5.058687491195883
AGR2,VEGFC,3.2049383846097257
AGR2,WARS,3.1449287026964914
AGR2,WNT9B,4.225731982824108
AGR2,XK,5.81477166432096
AGR2,ZC3HC1,4.657518775141393
AGR2,ZNF138,5.769450096474339
AGR2,ZNF169,3.9118040828435863
AGR2,ZNF180,4.946230053443537
AGR2,ZNF200,3.116275066530327
AGR2,ZNF266,5.202921765087963
AGR2,ZNF277,4.718342012006965
AGR2,ZNF354B,5.057447700036828
AGR2,ZNF433,3.2351776967410975
AGR2,ZNF436,4.431507129505052
AGR2,ZNF490,5.705976698891188
AGR2,ZNF558,4.97790288184568
AGR2,ZNF576,4.445484302600763
AGR2,ZNF684,5.233561351151207
AGR2,ZNF74,5.055580758960087
AGR2,ZNF77,3.802237010338349
AGR2,ZNF805,5.940925569367448
AGR2,ZNF85,5.71067070127079
AGR2,ZNF92,5.379341351753586
AGR2,ZSWIM2,3.7517094589965807
AKAP4,ZMIZ2,5.433505280768644
AKAP8,ZNF138,5.783312161130538
AKAP8L,SAP18,4.406635636131065
AKAP8L,UBQLN2,3.2878088072757756
ALDH1L1,ZMIZ2,5.777552535323685
