DDX1,MTAP
DDX1,SLC27A3
DDX1,TNFRSF14
DDX1,TXNIP
DDX1,ZNF577
DDX18,CBX7
DDX18,EGR1
DDX18,PARP10
DDX18,PPARA
DDX18,PRDX2
DDX18,RPS6KA2
DDX18,TNFRSF14
DDX18,ZNF433
DDX18,ZNF554
DDX18,ZNF563
DDX18,ZNF577
DDX49,CBX7
DDX49,FOXO4
DDX49,IFIH1
DDX49,PPARA
DDX49,SLC27A3
DDX49,TNFRSF14
DDX49,TRIM2
DDX49,TXNIP
DDX49,ZNF554
DDX49,ZNF563
DENND6B,ANKRD49
DENND6B,ARF4
DENND6B,ATF4
DENND6B,COX6C
DENND6B,DDX49
DENND6B,ERBB2
DENND6B,EXOSC8
DENND6B,FOXA2
DENND6B,GRWD1
DENND6B,MDM4
DENND6B,MTX2
DENND6B,NPEPPS
DENND6B,PARL
DENND6B,PSMA7
DENND6B,RPN2
DENND6B,RPS27A
DENND6B,TADA2A
DENND6B,TEX10
DENND6B,TMEM11
DENND6B,USP7
DENND6B,YME1L1
DENND6B,ZNHIT3
DEXI,ARID5B
DEXI,IFIH1
DEXI,JMJD7-PLA2G4B
DEXI,MST1
DEXI,SLC27A3
DEXI,TRIM2
DEXI,TXNIP
DEXI,ZNF433
DEXI,ZNF563
DEXI,ZNF785
DEXI,ZNF85
DHX58,DDX49
DHX58,ERBB2
DHX58,FOXA2
DHX58,HSF1
DHX58,MDM4
DHX58,MED28
DHX58,MTX2
DHX58,NDUFC1
DHX58,PPM1D
DHX58,RPN2
DHX58,TEX10
DHX58,TMEM11
DHX58,USP7
DHX58,YME1L1
DHX58,ZNHIT3
DNAJC15,ANKRD49
DNAJC15,ARF4
DNAJC15,ATF4
DNAJC15,DDX49
DNAJC15,EXOSC8
DNAJC15,FOXA2
DNAJC15,HSF1
DNAJC15,MDM4
DNAJC15,MTX2
DNAJC15,NFE2L2
DNAJC15,NPEPPS
DNAJC15,RPN2
DNAJC15,RPS27A
DNAJC15,TADA2A
DNAJC15,TEX10
DNAJC15,TFAP4
DNAJC15,TMEM11
DNAJC15,TOMM22
DNAJC15,USP7
DNAJC15,YME1L1
DNAJC15,ZNHIT3
DNAJC28,ANKRD49
DNAJC28,ARF4
