gene1,gene2
ACO1,ANXA2
ACO1,ASPN
ACO1,ATP7B
ACO1,AZU1
ACO1,BARX1
ACO1,C2CD2
ACO1,CAMK1G
ACO1,CCDC88C
ACO1,CDKL4
ACO1,CHST2
ACO1,CXCL1
ACO1,DDX6
ACO1,DENR
ACO1,DGKG
ACO1,DNAI4
ACO1,EPB41
ACO1,FCHSD2
ACO1,FNBP4
ACO1,GART
ACO1,GRK4
ACO1,JAZF1
ACO1,LRSAM1
ACO1,MAPK1
ACO1,MBD5
ACO1,MCCC2
ACO1,MERTK
ACO1,MLXIPL
ACO1,NEU1
ACO1,NXT1
ACO1,P4HA1
ACO1,PAEP
ACO1,PEX5
ACO1,PIKFYVE
ACO1,PINK1
ACO1,PKLR
ACO1,PLD1
ACO1,POLA2
ACO1,PTER
ACO1,PVRL2
ACO1,RNF103
ACO1,SLC33A1
ACO1,SLCO2B1
ACO1,SPAG16
ACO1,SPRED2
ACO1,STX6
ACO1,SUGP1
ACO1,TNFRSF25
ACO1,TUBB6
ACO1,XRCC2
ACO1,ZMYM3
ACO1,ZNF80
ACO1,ZNRD1ASP
ACO1,ZW10
ACSL1,ANXA2
ACSL1,ASPN
ACSL1,ATP7B
ACSL1,AZU1
ACSL1,BARX1
ACSL1,C2CD2
ACSL1,CAMK1G
ACSL1,CCDC88C
ACSL1,CDKL4
ACSL1,CHST2
ACSL1,CXCL1
ACSL1,DDX6
ACSL1,DENR
ACSL1,DGKG
ACSL1,DNAI4
ACSL1,EPB41
ACSL1,FCHSD2
ACSL1,FNBP4
ACSL1,GART
ACSL1,GRK4
ACSL1,JAZF1
ACSL1,LRSAM1
ACSL1,MAPK1
ACSL1,MBD5
ACSL1,MCCC2
ACSL1,MERTK
ACSL1,MLXIPL
ACSL1,NEU1
ACSL1,NXT1
ACSL1,P4HA1
ACSL1,PAEP
ACSL1,PEX5
ACSL1,PIKFYVE
ACSL1,PINK1
ACSL1,PKLR
ACSL1,PLD1
ACSL1,POLA2
ACSL1,PTER
ACSL1,PVRL2
ACSL1,RNF103
ACSL1,SLC33A1
ACSL1,SLCO2B1
ACSL1,SPAG16
ACSL1,SPRED2
ACSL1,STX6
ACSL1,SUGP1
ACSL1,TNFRSF25
ACSL1,TUBB6
ACSL1,XRCC2
ACSL1,ZMYM3
ACSL1,ZNF80
ACSL1,ZNRD1ASP
ACSL1,ZW10
AGTR2,ANXA2
AGTR2,ASPN
AGTR2,ATP7B
AGTR2,AZU1
AGTR2,BARX1
AGTR2,C2CD2
AGTR2,CAMK1G
AGTR2,CCDC88C
AGTR2,CDKL4
AGTR2,CHST2
AGTR2,CXCL1
AGTR2,DDX6
AGTR2,DENR
AGTR2,DGKG
AGTR2,DNAI4
AGTR2,EPB41
AGTR2,FCHSD2
AGTR2,FNBP4
AGTR2,GART
AGTR2,GRK4
AGTR2,JAZF1
AGTR2,LRSAM1
AGTR2,MAPK1
AGTR2,MBD5
AGTR2,MCCC2
AGTR2,MERTK
AGTR2,MLXIPL
AGTR2,NEU1
AGTR2,NXT1
AGTR2,P4HA1
AGTR2,PAEP
AGTR2,PEX5
AGTR2,PIKFYVE
AGTR2,PINK1
AGTR2,PKLR
AGTR2,PLD1
AGTR2,POLA2
AGTR2,PTER
AGTR2,PVRL2
AGTR2,RNF103
AGTR2,SLC33A1
AGTR2,SLCO2B1
AGTR2,SPAG16
AGTR2,SPRED2
AGTR2,STX6
AGTR2,SUGP1
AGTR2,TNFRSF25
AGTR2,TUBB6
AGTR2,XRCC2
AGTR2,ZMYM3
AGTR2,ZNF80
AGTR2,ZNRD1ASP
AGTR2,ZW10
AMBP,ANXA2
AMBP,ASPN
AMBP,ATP7B
AMBP,AZU1
AMBP,BARX1
AMBP,C2CD2
AMBP,CAMK1G
AMBP,CCDC88C
AMBP,CDKL4
AMBP,CHST2
AMBP,CXCL1
AMBP,DDX6
AMBP,DENR
AMBP,DGKG
AMBP,DNAI4
AMBP,EPB41
AMBP,FCHSD2
AMBP,FNBP4
AMBP,GART
AMBP,GRK4
AMBP,JAZF1
AMBP,LRSAM1
AMBP,MAPK1
AMBP,MBD5
AMBP,MCCC2
AMBP,MERTK
AMBP,MLXIPL
AMBP,NEU1
AMBP,NXT1
AMBP,P4HA1
AMBP,PAEP
AMBP,PEX5
AMBP,PIKFYVE
AMBP,PINK1
AMBP,PKLR
AMBP,PLD1
AMBP,POLA2
AMBP,PTER
AMBP,PVRL2
AMBP,RNF103
AMBP,SLC33A1
AMBP,SLCO2B1
AMBP,SPAG16
AMBP,SPRED2
AMBP,STX6
AMBP,SUGP1
AMBP,TNFRSF25
AMBP,TUBB6
AMBP,XRCC2
AMBP,ZMYM3
AMBP,ZNF80
AMBP,ZNRD1ASP
AMBP,ZW10
ATG7,ANXA2
ATG7,ASPN
ATG7,ATP7B
ATG7,AZU1
ATG7,BARX1
ATG7,C2CD2
ATG7,CAMK1G
ATG7,CCDC88C
ATG7,CDKL4
ATG7,CHST2
ATG7,CXCL1
ATG7,DDX6
ATG7,DENR
ATG7,DGKG
ATG7,DNAI4
ATG7,EPB41
ATG7,FCHSD2
ATG7,FNBP4
ATG7,GART
ATG7,GRK4
ATG7,JAZF1
ATG7,LRSAM1
ATG7,MAPK1
ATG7,MBD5
ATG7,MCCC2
ATG7,MERTK
ATG7,MLXIPL
ATG7,NEU1
ATG7,NXT1
ATG7,P4HA1
ATG7,PAEP
ATG7,PEX5
ATG7,PIKFYVE
ATG7,PINK1
ATG7,PKLR
ATG7,PLD1
ATG7,POLA2
ATG7,PTER
ATG7,PVRL2
ATG7,RNF103
ATG7,SLC33A1
ATG7,SLCO2B1
ATG7,SPAG16
ATG7,SPRED2
ATG7,STX6
ATG7,SUGP1
ATG7,TNFRSF25
ATG7,TUBB6
ATG7,XRCC2
ATG7,ZMYM3
ATG7,ZNF80
