gene1,gene2
A1CF,ETFA
A1CF,IL10
A1CF,NPY1R
A1CF,OAZ2
A1CF,OXSM
A1CF,PML
A1CF,RBKS
A1CF,RGS5
A1CF,S100A12
A1CF,SENP5
A1CF,TESC
A1CF,USP47
A2M,ACYP2
A2M,ADAMTS12
A2M,BRAF
A2M,BRINP3
A2M,C6orf15
A2M,C6orf47
A2M,CACNG4
A2M,CC2D1A
A2M,CNMD
A2M,CNOT6
A2M,CNTN6
A2M,DHX57
A2M,EPHB2
A2M,ERAP2
A2M,EVI5
A2M,FAS
A2M,GNG10
A2M,HRH3
A2M,HTR7
A2M,IAPP
A2M,ITPR1
A2M,KIF23
A2M,KIF26B
A2M,KRT38
A2M,MAP3K19
A2M,METTL7A
A2M,MST1R
A2M,MVP
A2M,MYL6B
A2M,NKTR
A2M,NR0B2
A2M,NRP1
A2M,OR2J3
A2M,PDCD6IP
A2M,PDE6C
A2M,PIGB
A2M,PIP
A2M,PPCS
A2M,PSD
A2M,RALGAPB
A2M,REXO2
A2M,SCAF8
A2M,SERPINB9
A2M,SLC25A20
A2M,SLCO4C1
A2M,SWAP70
A2M,TRIB1
A2M,TRIP6
A2M,WNT11
A2M,ZNF358
