gene1,gene2,weight
A1CF,GPR112,4.97598456235316
A2M,ADH1C,3.878612388943528
A2M,AKAP11,4.870024071443541
A2M,APOC3,5.180955318448036
A2M,AZIN1,5.920743341405702
A2M,BNIP2,4.269874191572818
A2M,BRF2,3.0872945274142283
A2M,CAPZA1,4.321385752932178
A2M,CASP14,5.067115973861666
A2M,CDC45,5.981065662190812
A2M,CDK1,3.1399201367761176
A2M,CERS6,5.487082960158961
A2M,CHRM2,4.029056292070657
A2M,CLP1,3.355146351092214
A2M,CREB3L1,4.093880630585645
A2M,DGCR2,3.6201229900849827
A2M,DMD,4.385249653162237
A2M,EIF2D,5.322027817122795
A2M,ERI2,3.462808963152371
A2M,ESM1,4.0114028677467966
A2M,F11,5.6205076007663735
A2M,F2R,4.986317495531058
A2M,FGD6,5.32425793710992
A2M,FOXL2,5.833771070671536
A2M,FZD9,5.823337022997272
A2M,GNAI2,4.745324530824509
A2M,GPR119,4.645940079568554
A2M,GPR146,4.075735145033225
A2M,GPR153,5.01095833741118
A2M,GPR78,5.436873112424436
A2M,HAMP,4.940785394611928
A2M,HAND1,3.837225601018706
A2M,HBS1L,3.233154437553457
A2M,HLA-E,3.520831185392794
A2M,HMGN3,5.100512660991231
A2M,HPX,5.792384524364015
A2M,IFT22,5.301753077933421
A2M,IGSF6,5.233288777388008
A2M,IK,3.372596437948024
A2M,ILVBL,4.088973142416501
A2M,JUN,4.31683370026756
A2M,KLF4,3.4511119453641284
A2M,KLF8,3.7011692746077243
A2M,KLHDC4,4.509513055172118
A2M,KLRK1,3.8870147905518264
A2M,LETM1,5.109183025803537
A2M,LHX3,4.187073104457245
A2M,MAP3K3,5.800747292926383
A2M,MATN2,5.488419816829437
A2M,MCUR1,5.429251816466885
A2M,MECOM,4.129135002030406
A2M,MED15,4.327108898331094
A2M,MICB,5.909538118019652
A2M,MYO6,3.53907330359023
A2M,NASP,3.9509213190937214
A2M,NDUFS1,5.372845905002386
A2M,P2RX4,4.097066845508837
A2M,P4HA1,3.5900350395766574
A2M,PALS2,4.615372767145562
A2M,PDLIM5,4.7586017624162755
A2M,PHKA2,5.4892755661858175
A2M,PIM3,4.300779163833027
A2M,PLA2G2D,3.0963767151607184
A2M,PLAC1,3.860650076871781
A2M,PML,3.933793220197633
A2M,PPFIA3,3.2125736919299617
A2M,PRELP,3.301828900871302
A2M,PROCR,3.908128828137324
A2M,PSMC4,4.718137338149077
A2M,PTPRK,4.978904002134976
A2M,RBPMS,3.4704563019318853
A2M,SDF2,5.378780584476046
A2M,SERPINE2,4.8287993893257015
A2M,SLC22A23,3.30544036792778
A2M,SLC24A2,4.98796842279606
A2M,SLC9A2,4.151585554452398
A2M,SORD,3.893866368652262
A2M,SP1,4.6936767897116525
A2M,SRSF6,4.8880314334616415
A2M,ST6GALNAC2,3.2807106204975076
A2M,TAF5,3.2980313446841376
A2M,TPH1,5.650845065642118
A2M,TSPAN12,3.381495041147547
A2M,UGT1A9,5.668258687186052
A2M,ULK1,4.1207714992512585
A2M,UNC50,4.146899782221301
A2M,UROS,4.459863214410305
A2M,VCAN,4.796737978176951
A2M,ZNF217,4.66361696443308
A2M,ZNF407,3.757224572683133
A2M,ZNF585A,4.510323595843079
A2M,ZNF614,5.30549800201158
AARS1,AKAP9,4.688320088580188
AARS1,FGA,4.927425687677604
AARS1,PRIM2,4.497116545836413
AARS1,RALGPS2,4.215283246522828
AARS1,ZNF706,5.451516586549488
ABCA4,AKAP9,4.0321896852993255
ABCC4,ACADS,3.418748584995722
ABCC4,ALPP,4.640050237377903
ABCC4,APOA4,4.808160122562416
ABCC4,ARHGAP9,4.819019576788326
ABCC4,ATP5G1,4.395173902002129
ABCC4,ATP5PF,3.5490188650810364
ABCC4,BDH1,5.119243215742137
ABCC4,CDH4,4.484063181567761
ABCC4,CEBPE,5.8795581301936295
ABCC4,CNOT6,5.478868262332261
ABCC4,CREB5,3.8466633719234573
ABCC4,CSNK1D,3.0059874731865746
ABCC4,CYTH2,4.059952303724964
ABCC4,DAGLA,3.1322164704454063
ABCC4,DDX50,3.517112938792586
ABCC4,DKKL1,3.789358979206148
ABCC4,DMD,4.346507485880111
ABCC4,DNM1L,4.5054756772152285
ABCC4,DSG3,4.718510608210416
ABCC4,DUSP4,4.031161797374098
ABCC4,EPB41L5,4.904913874693669
ABCC4,FAAP100,3.9263697242813076
ABCC4,FABP5,4.425918663080614
ABCC4,FDX1L,3.3328183696670313
ABCC4,FKBP8,4.462254226897406
ABCC4,FOXL2,4.532435907042102
ABCC4,FUBP3,3.665282821532746
ABCC4,GTF2A1,3.8216810376521284
ABCC4,IL17RC,3.2160477618734493
ABCC4,IQCA1,5.740285992691886
ABCC4,ITGA5,3.0462646929403405
ABCC4,KDELR3,3.347662388108177
ABCC4,KDM3A,4.839961747026074
ABCC4,LCAT,5.279648069027287
ABCC4,LHB,3.8611513347539113
ABCC4,LPL,4.293131579719325
ABCC4,LRRC37A4P,3.5585986564530274
ABCC4,LRRFIP2,4.901978783052925
ABCC4,MAP1LC3C,3.1545864502926517
ABCC4,MEX3D,5.434460681679719
ABCC4,MTMR2,3.66738983691366
ABCC4,MTMR3,3.7348681533004706
ABCC4,NEIL1,4.52797203679946
ABCC4,NLRX1,4.633557296253516
ABCC4,NPDC1,3.412917224525906
ABCC4,NPR2,5.434227734148978
ABCC4,OCRL,3.8832451031279414
ABCC4,PANK3,5.238198050095294
ABCC4,PAPSS2,3.6007769348525827
ABCC4,PF4,5.5068543231647595
ABCC4,PGR,4.385599209677587
ABCC4,PILRA,4.961593506017044
ABCC4,PLA2G2E,5.710144737351456
ABCC4,PNPLA4,5.068987348478919
ABCC4,REPS1,5.081464556200247
ABCC4,RMC1,3.037034288676086
ABCC4,SDF2,3.570643343275849
ABCC4,SGSM2,5.421233254092966
ABCC4,SLC39A2,5.991118137888957
ABCC4,SMC4,4.916409187358615
ABCC4,SNAPC5,4.805234324152201
ABCC4,TEAD2,3.518759865844876
ABCC4,TENT4A,5.5798072092862725
ABCC4,TRAF7,5.433418591984737
ABCC4,TSBP1,4.351932322054477
ABCC4,UCKL1,3.0067373134034767
ABCC4,WWP1,4.346411808684857
ABCC4,ZC3H13,4.292384418577907
ABCC4,ZNF576,4.232342018946957
ABCC4,ZNF606,5.971299687740849
ABCC4,ZNF706,4.69948498132212
ABCF2,ABCF2,4.555372929148385
ABCF2,TRAM1,4.120593636018175
ABCG2,NRBP2,4.758097698323443
ABHD11,IL18R1,4.691776769672
ABHD11,PDLIM5,4.285901535595315
ABHD11,PPFIA3,4.409722054280378
ABHD3,ABCC1,4.4746995556899005
ABHD3,ATP5C1,5.432707309798369
ABHD3,CASP14,3.8832460385961918
ABHD3,CERS4,4.333744458237906
ABHD3,CLPP,4.669378607712948
ABHD3,CREB3L1,3.4341432172898934
ABHD3,CSPG4,4.1643360932370985
ABHD3,CTPS1,4.919760102851054
ABHD3,DLGAP4,4.266012583389854
ABHD3,DOK4,3.0042418943299856
ABHD3,FBXL15,3.517836852141763
ABHD3,GABPB2,5.68819009487237
ABHD3,GLCE,5.107537878596549
ABHD3,GLI2,4.477535280289198
ABHD3,GYG2,3.725516059109256
ABHD3,HAND1,5.537343105958131
ABHD3,HBB,5.630906838646812
ABHD3,HOXC5,5.013363601824822
ABHD3,HTR1E,4.060607640484093
ABHD3,IFIT3,5.177684997739795
ABHD3,IL13RA1,4.188333652505515
ABHD3,KDM5C,5.465865936616549
ABHD3,LEPR,5.823143576881923
ABHD3,LGMN,3.9398772989680264
ABHD3,MMP1,5.9401968851563005
ABHD3,MPI,4.113786166361683
ABHD3,NEIL3,3.63306935473225
ABHD3,PARK7,5.31483769300415
ABHD3,PHKA1,4.411630381443146
ABHD3,PPT2,5.326734159710721
ABHD3,PSMB9,5.215505435336745
ABHD3,PSMC3IP,5.3101919421469095
ABHD3,PSMD1,4.275128434332203
ABHD3,RCC1L,5.730932646848849
ABHD3,RPS23,4.2054743623473545
ABHD3,RYBP,5.135299211688013
ABHD3,SECISBP2L,5.849384940386518
ABHD3,SH2D3C,5.380065688861583
ABHD3,SLC28A1,5.575403085050654
ABHD3,SOX9,3.7972579461927154
ABHD3,SSTR2,5.66889328972373
ABHD3,TAL2,5.665104870737085
ABHD3,TBC1D22A,5.089156915426413
ABHD3,TM4SF5,3.759474349744986
ABHD3,UROD,5.9912460981324305
ABHD3,USP32,5.885741045993074
ABHD3,USP53,5.74723467350252
ABHD3,ZFP112,4.425831406080185
ABHD3,ZNF117,5.30443194818889
ABHD3,ZNF528,5.2711317007566585
ABHD5,B3GNTL1,5.458918811556316
ABHD5,DNM1L,3.664123688250406
ABHD5,FSTL4,3.8660457207159227
ABHD5,IER3IP1,5.924682899788238
ABHD5,KIF20A,3.929203023920818
ABHD5,NIT2,4.63989017479615
ABHD5,PSMD1,5.770413433315925
ABHD5,RAB11FIP3,3.885709672891209
ABHD5,SGCA,5.929570932072734
ABHD5,SGSM2,4.647240995177256
ABHD5,TMEM110,5.304935268126622
ABHD5,TTC28,5.7914645454493225
ABHD5,WLS,5.307977893786958
ABI2,NRBP2,4.580601197538428
ABITRAM,AKAP5,5.979477785683349
ABITRAM,AKT3,4.565590521670794
ABITRAM,ASNS,4.178724410656738
ABITRAM,ASPM,4.118817910913542
ABITRAM,C19ORF10,5.994161430205747
ABITRAM,CD46,4.838825202423466
ABITRAM,CPT2,5.973497674412029
ABITRAM,CSPG4,3.1221215311101043
ABITRAM,DACT1,3.2727907262165132
ABITRAM,DYNLRB1,4.039380436860005
ABITRAM,FES,4.52779719193272
ABITRAM,FST,5.434670026027696
ABITRAM,FSTL4,3.108087056049042
ABITRAM,GALK2,5.12087020562765
ABITRAM,HLA-F,5.344911214694953
ABITRAM,HOXA9,5.603994223768429
ABITRAM,IL15RA,3.167360067814011
ABITRAM,IL18R1,4.4991063324490055
ABITRAM,IPPK,5.180999430789305
ABITRAM,KATNIP,3.356487094845097
ABITRAM,KDM4D,3.2223652216947394
ABITRAM,KLF8,3.5692702039660373
ABITRAM,NDUFB3,3.269108580274593
ABITRAM,NGB,3.392602877669664
ABITRAM,NYX,5.435565828503618
ABITRAM,PDLIM5,5.394533874235734
ABITRAM,PURG,5.00727166575356
ABITRAM,SLC25A31,5.0878976536503036
ABITRAM,SLC25A40,5.792165997628093
ABITRAM,SNN,5.807851166297491
ABITRAM,SRSF11,3.3623907799551036
ABITRAM,SUV39H2,4.837811328225468
ABITRAM,TAOK2,3.2941003980436068
ABITRAM,UAP1,4.353575749156063
ABITRAM,UBTF,5.976133257620505
ABITRAM,UTF1,3.2769155367461407
ABITRAM,VAC14,3.729614707527615
ABITRAM,VPS26A,5.479613534839597
ABTB2,ERGIC3,4.429174462363872
ABTB2,NR1H3,4.545876775372795
ABTB2,PLCXD1,5.054619331859617
ABTB2,ZNF652,3.3030108075210847
ACADSB,APOLD1,4.540388435269579
ACADSB,ARIH1,5.931938700513957
ACADSB,ATG12,3.724142826695247
ACADSB,CYP7A1,4.309816325408553
ACADSB,HINT1,3.0332810304689404
ACADSB,HSPA14,4.65554972873052
ACADSB,IFNA14,3.1622901264375427
ACADSB,INSR,4.016082682211212
ACADSB,IRGM,3.4877852348218688
ACADSB,JARID2,4.823927059941814
ACADSB,OR1A1,3.338039226318685
ACADSB,PARP10,4.170175259729063
ACADSB,PDLIM5,4.055105561415883
ACADSB,TCL1A,5.001375311436465
ACAT1,ALB,3.203761250038157
ACAT1,CTNNB1,5.962289012609868
ACAT1,FAM117A,4.84366342780352
ACAT1,FASTK,4.130990978579388
ACAT1,GNAI1,4.995990981475826
ACAT1,IL18R1,4.37016981182032
ACAT1,NHLRC2,4.767418792648549
ACAT1,NLRP1,3.1919537721871825
ACAT1,PIK3CB,3.6244129417870043
ACAT1,PPP2R5C,3.07274453830093
ACAT1,PSMC4,4.702509356578181
ACAT1,SNX3,5.112923748265882
ACAT1,ZNF688,5.902848917015677
ACAT2,ACAT2,3.6105212001924367
ACBD4,ABCB9,3.5353657858125436
ACBD4,CTNNB1,3.232464708949772
ACBD4,CYB5R4,4.615295555899416
ACBD4,DHRS2,5.816689298747955
ACBD4,DPYD,3.140869665048564
ACBD4,ELK1,3.8492328319583846
ACBD4,FOXA3,3.441622799132622
ACBD4,GLTP,4.450827269792823
ACBD4,GNAI1,4.376780787668917
ACBD4,GPR153,5.6643391769901115
ACBD4,HOXC4,4.412197349244401
ACBD4,IL18R1,5.149836059054589
ACBD4,IL36G,3.5969980939247326
ACBD4,KDM5C,4.932271105966899
ACBD4,LDHAL6B,5.254785266590361
ACBD4,LRRC19,4.839339700952155
ACBD4,MGAT1,5.497559841808334
ACBD4,PSMD1,5.930976999472725
ACBD4,SLC9A3R2,5.325164519918965
ACBD4,TBXA2R,5.959369513074966
ACBD4,TEFM,4.696783539253912
ACBD4,UBE2L3,3.0366185733026128
ACBD4,YBX3,5.580528792523538
ACKR1,PSMD1,3.2028943432320562
ACKR2,CTSL,3.906681262405283
ACKR3,AKAP9,4.469294735766466
ACKR3,PSMD1,4.303542107974697
ACKR4,ACKR4,3.2462501957347216
ACKR4,ALG8,5.037341845603947
ACKR4,EPB41,4.545473697105986
ACKR4,GCLC,5.4619090971490944
ACKR4,GGT1,3.2077539999060036
ACKR4,GNA13,3.381489489763355
ACKR4,KIF3B,4.690275209539003
ACKR4,NDRG4,3.2160387515890787
ACKR4,NMNAT2,5.573058326742414
ACKR4,PRIM2,3.231826362735664
ACKR4,PRKD3,4.202558652333348
ACKR4,SERPINE2,3.3946399128205926
ACKR4,SMUG1,3.7644956069591116
ACOT8,ACOT8,4.066157573481303
ACOT8,ATP5C1,5.374725191547363
ACOT8,BIRC3,3.657275953250588
ACOT8,CDC25B,5.651432892947946
ACOT8,CEP76,5.791234136789196
ACOT8,CSNK1E,4.775635844692575
ACOT8,DELE1,4.097448738215053
ACOT8,DNAJB1,5.588003027723234
ACOT8,FGF23,3.3855594472608064
ACOT8,LIG1,5.181710985590305
ACOT8,MGAT1,5.200049718478789
ACOT8,NDUFA4,4.276022077300251
ACOT8,NEU3,4.903499319574936
ACOT8,PURG,4.359674119606001
ACOT8,RSAD1,3.740722971787428
ACOT8,SMIM14,5.458813197846066
ACOT8,STRN3,3.9945849413926773
ACOT8,TAS2R10,3.694006247009674
ACOT8,VN1R5,3.189821937536575
ACOT8,XDH,3.5022405656241133
ACSBG2,PPFIA3,5.342755206034032
ACTA2,AKAP9,4.8625286387406605
ACTA2,C2orf42,5.675358011543247
ACTA2,CDC25B,5.988551559119479
ACTA2,CHD9,3.6503578931409097
ACTA2,EIF2B4,4.746162803446557
ACTA2,GAS6,4.107398260510837
ACTA2,NDUFA4,5.904319779263538
ACTA2,NDUFB1,3.532629854901699
